id,text,start,end,duration,progress,parent,type
temp://17657100202121,Project Planning,2024-01-01,,15,0.8,,milestone
temp://17657100202122,Define Requirements,2024-01-01,2024-01-05,5,1,temp://17657100202121,task
temp://17657100202123,Design Phase,2024-01-06,2024-01-15,10,0.6,temp://17657100202121,task
temp://17657100202124,Development,2024-01-16,,45,0.4,,milestone
temp://17657100202125,Backend Development,2024-01-16,2024-02-10,25,0.5,temp://17657100202124,task
temp://17657100202126,Frontend Development,2024-01-20,2024-02-15,27,0.4,temp://17657100202124,task
temp://17657100202127,Database Setup,2024-01-16,2024-01-25,10,0.8,temp://17657100202124,task
temp://17657100202128,Testing,2024-03-01,,15,0.2,,milestone
temp://17657100202129,Unit Testing,2024-03-01,2024-03-08,8,0.3,temp://17657100202128,task
temp://176571002021210,Integration Testing,2024-03-09,2024-03-15,7,0.1,temp://17657100202128,task
temp://176571002021211,Deployment,2024-03-16,,5,0,,milestone
temp://176571002021212,Production Setup,2024-03-16,2024-03-18,3,0,temp://176571002021211,task
temp://176571002021213,Go Live,2024-03-19,2024-03-20,2,0,temp://176571002021211,task
